,0,1,2,3,4,5,6,output
0,35,29,9,115,29,18,115,0
1,29,9,115,29,18,115,37,0
2,9,115,29,18,115,37,67,0
3,115,29,18,115,37,67,67,0
4,29,18,115,37,67,67,67,0
5,18,115,37,67,67,67,67,0
6,115,37,67,67,67,67,67,0
7,37,67,67,67,67,67,67,0
8,67,67,67,67,67,67,67,0
9,67,67,67,67,67,67,67,0
10,67,67,67,67,67,67,67,0
11,67,67,67,67,67,67,67,0
12,67,67,67,67,67,67,67,0
13,67,67,67,67,67,67,67,0
14,67,67,67,67,67,67,67,0
15,67,67,67,67,67,67,67,0
16,67,67,67,67,67,67,67,0
17,67,67,67,67,67,67,67,0
18,67,67,67,67,67,67,67,0
19,67,67,67,67,67,67,67,0
20,67,67,67,67,67,67,67,0
21,67,67,67,67,67,67,67,0
22,67,67,67,67,67,67,67,0
23,67,67,67,67,67,67,67,0
24,67,67,67,67,67,67,67,0
25,67,67,67,67,67,67,67,0
26,67,67,67,67,67,67,67,0
27,67,67,67,67,67,67,67,0
28,67,67,67,67,67,67,67,0
29,67,67,67,67,67,67,67,0
30,67,67,67,67,67,67,67,0
31,67,67,67,67,67,67,67,0
32,67,67,67,67,67,67,67,0
33,67,67,67,67,67,67,67,0
34,67,67,67,67,67,67,67,0
35,67,67,67,67,67,67,67,0
36,58,103,5,50,58,103,5,0
37,103,5,50,58,103,5,50,0
38,5,50,58,103,5,50,67,0
39,50,58,103,5,50,67,67,0
40,58,103,5,50,67,67,67,0
41,103,5,50,67,67,67,67,0
42,5,50,67,67,67,67,67,0
43,50,67,67,67,67,67,67,0
44,67,67,67,67,67,67,67,0
45,67,67,67,67,67,67,67,0
46,67,67,67,67,67,67,67,0
47,67,67,67,67,67,67,67,0
48,67,67,67,67,67,67,67,0
49,67,67,67,67,67,67,67,0
50,67,67,67,67,67,67,67,0
51,67,67,67,67,67,67,67,0
52,67,67,67,67,67,67,67,0
53,67,67,67,67,67,67,67,0
54,67,67,67,67,67,67,67,0
55,67,67,67,67,67,67,67,0
56,67,67,67,67,67,67,67,0
57,67,67,67,67,67,67,67,0
58,67,67,67,67,67,67,67,0
59,67,67,67,67,67,67,67,0
60,67,67,67,67,67,67,67,0
61,67,67,67,67,67,67,67,0
62,67,67,67,67,67,67,67,0
63,67,67,67,67,67,67,67,0
64,67,67,67,67,67,67,67,0
65,67,67,67,67,67,67,67,0
66,67,67,67,67,67,67,67,0
67,67,67,67,67,67,67,67,0
68,67,67,67,67,67,67,67,0
69,67,67,67,67,67,67,67,0
70,67,67,67,67,67,67,67,0
71,67,67,67,67,67,67,67,0
72,2,2,2,2,2,22,22,0
73,2,2,2,2,22,22,109,0
74,2,2,2,22,22,109,67,0
75,2,2,22,22,109,67,67,0
76,2,22,22,109,67,67,67,0
77,22,22,109,67,67,67,67,0
78,22,109,67,67,67,67,67,0
79,109,67,67,67,67,67,67,0
80,67,67,67,67,67,67,67,0
81,67,67,67,67,67,67,67,0
82,67,67,67,67,67,67,67,0
83,67,67,67,67,67,67,67,0
84,67,67,67,67,67,67,67,0
85,67,67,67,67,67,67,67,0
86,67,67,67,67,67,67,67,0
87,67,67,67,67,67,67,67,0
88,67,67,67,67,67,67,67,0
89,67,67,67,67,67,67,67,0
90,67,67,67,67,67,67,67,0
91,67,67,67,67,67,67,67,0
92,67,67,67,67,67,67,67,0
93,67,67,67,67,67,67,67,0
94,67,67,67,67,67,67,67,0
95,67,67,67,67,67,67,67,0
96,67,67,67,67,67,67,67,0
97,67,67,67,67,67,67,67,0
98,67,67,67,67,67,67,67,0
99,67,67,67,67,67,67,67,0
100,67,67,67,67,67,67,67,0
101,67,67,67,67,67,67,67,0
102,67,67,67,67,67,67,67,0
103,67,67,67,67,67,67,67,0
104,67,67,67,67,67,67,67,0
105,67,67,67,67,67,67,67,0
106,67,67,67,67,67,67,67,0
107,67,67,67,67,67,67,67,0
108,58,103,5,50,58,103,5,0
109,103,5,50,58,103,5,50,0
110,5,50,58,103,5,50,67,0
111,50,58,103,5,50,67,67,0
112,58,103,5,50,67,67,67,0
113,103,5,50,67,67,67,67,0
114,5,50,67,67,67,67,67,0
115,50,67,67,67,67,67,67,0
116,67,67,67,67,67,67,67,0
117,67,67,67,67,67,67,67,0
118,67,67,67,67,67,67,67,0
119,67,67,67,67,67,67,67,0
120,67,67,67,67,67,67,67,0
121,67,67,67,67,67,67,67,0
122,67,67,67,67,67,67,67,0
123,67,67,67,67,67,67,67,0
124,67,67,67,67,67,67,67,0
125,67,67,67,67,67,67,67,0
126,67,67,67,67,67,67,67,0
127,67,67,67,67,67,67,67,0
128,67,67,67,67,67,67,67,0
129,67,67,67,67,67,67,67,0
130,67,67,67,67,67,67,67,0
131,67,67,67,67,67,67,67,0
132,67,67,67,67,67,67,67,0
133,67,67,67,67,67,67,67,0
134,67,67,67,67,67,67,67,0
135,67,67,67,67,67,67,67,0
136,67,67,67,67,67,67,67,0
137,67,67,67,67,67,67,67,0
138,67,67,67,67,67,67,67,0
139,67,67,67,67,67,67,67,0
140,67,67,67,67,67,67,67,0
141,67,67,67,67,67,67,67,0
142,67,67,67,67,67,67,67,0
143,67,67,67,67,67,67,67,0
144,2,2,2,2,2,22,22,0
145,2,2,2,2,22,22,109,0
146,2,2,2,22,22,109,67,0
147,2,2,22,22,109,67,67,0
148,2,22,22,109,67,67,67,0
149,22,22,109,67,67,67,67,0
150,22,109,67,67,67,67,67,0
151,109,67,67,67,67,67,67,0
152,67,67,67,67,67,67,67,0
153,67,67,67,67,67,67,67,0
154,67,67,67,67,67,67,67,0
155,67,67,67,67,67,67,67,0
156,67,67,67,67,67,67,67,0
157,67,67,67,67,67,67,67,0
158,67,67,67,67,67,67,67,0
159,67,67,67,67,67,67,67,0
160,67,67,67,67,67,67,67,0
161,67,67,67,67,67,67,67,0
162,67,67,67,67,67,67,67,0
163,67,67,67,67,67,67,67,0
164,67,67,67,67,67,67,67,0
165,67,67,67,67,67,67,67,0
166,67,67,67,67,67,67,67,0
167,67,67,67,67,67,67,67,0
168,67,67,67,67,67,67,67,0
169,67,67,67,67,67,67,67,0
170,67,67,67,67,67,67,67,0
171,67,67,67,67,67,67,67,0
172,67,67,67,67,67,67,67,0
173,67,67,67,67,67,67,67,0
174,67,67,67,67,67,67,67,0
175,67,67,67,67,67,67,67,0
176,67,67,67,67,67,67,67,0
177,67,67,67,67,67,67,67,0
178,67,67,67,67,67,67,67,0
179,67,67,67,67,67,67,67,0
180,58,103,5,50,58,103,5,0
181,103,5,50,58,103,5,50,0
182,5,50,58,103,5,50,67,0
183,50,58,103,5,50,67,67,0
184,58,103,5,50,67,67,67,0
185,103,5,50,67,67,67,67,0
186,5,50,67,67,67,67,67,0
187,50,67,67,67,67,67,67,0
188,67,67,67,67,67,67,67,0
189,67,67,67,67,67,67,67,0
190,67,67,67,67,67,67,67,0
191,67,67,67,67,67,67,67,0
192,67,67,67,67,67,67,67,0
193,67,67,67,67,67,67,67,0
194,67,67,67,67,67,67,67,0
195,67,67,67,67,67,67,67,0
196,67,67,67,67,67,67,67,0
197,67,67,67,67,67,67,67,0
198,67,67,67,67,67,67,67,0
199,67,67,67,67,67,67,67,0
200,67,67,67,67,67,67,67,0
201,67,67,67,67,67,67,67,0
202,67,67,67,67,67,67,67,0
203,67,67,67,67,67,67,67,0
204,67,67,67,67,67,67,67,0
205,67,67,67,67,67,67,67,0
206,67,67,67,67,67,67,67,0
207,67,67,67,67,67,67,67,0
208,67,67,67,67,67,67,67,0
209,67,67,67,67,67,67,67,0
210,67,67,67,67,67,67,67,0
211,67,67,67,67,67,67,67,0
212,67,67,67,67,67,67,67,0
213,67,67,67,67,67,67,67,0
214,67,67,67,67,67,67,67,0
215,67,67,67,67,67,67,67,0
216,35,29,9,115,29,18,115,0
217,29,9,115,29,18,115,37,0
218,9,115,29,18,115,37,67,0
219,115,29,18,115,37,67,67,0
220,29,18,115,37,67,67,67,0
221,18,115,37,67,67,67,67,0
222,115,37,67,67,67,67,67,0
223,37,67,67,67,67,67,67,0
224,67,67,67,67,67,67,67,0
225,67,67,67,67,67,67,67,0
226,67,67,67,67,67,67,67,0
227,67,67,67,67,67,67,67,0
228,67,67,67,67,67,67,67,0
229,67,67,67,67,67,67,67,0
230,67,67,67,67,67,67,67,0
231,67,67,67,67,67,67,67,0
232,67,67,67,67,67,67,67,0
233,67,67,67,67,67,67,67,0
234,67,67,67,67,67,67,67,0
235,67,67,67,67,67,67,67,0
236,67,67,67,67,67,67,67,0
237,67,67,67,67,67,67,67,0
238,67,67,67,67,67,67,67,0
239,67,67,67,67,67,67,67,0
240,67,67,67,67,67,67,67,0
241,67,67,67,67,67,67,67,0
242,67,67,67,67,67,67,67,0
243,67,67,67,67,67,67,67,0
244,67,67,67,67,67,67,67,0
245,67,67,67,67,67,67,67,0
246,67,67,67,67,67,67,67,0
247,67,67,67,67,67,67,67,0
248,67,67,67,67,67,67,67,0
249,67,67,67,67,67,67,67,0
250,67,67,67,67,67,67,67,0
251,67,67,67,67,67,67,67,0
252,58,103,5,50,58,103,5,0
253,103,5,50,58,103,5,50,0
254,5,50,58,103,5,50,67,0
255,50,58,103,5,50,67,67,0
256,58,103,5,50,67,67,67,0
257,103,5,50,67,67,67,67,0
258,5,50,67,67,67,67,67,0
259,50,67,67,67,67,67,67,0
260,67,67,67,67,67,67,67,0
261,67,67,67,67,67,67,67,0
262,67,67,67,67,67,67,67,0
263,67,67,67,67,67,67,67,0
264,67,67,67,67,67,67,67,0
265,67,67,67,67,67,67,67,0
266,67,67,67,67,67,67,67,0
267,67,67,67,67,67,67,67,0
268,67,67,67,67,67,67,67,0
269,67,67,67,67,67,67,67,0
270,67,67,67,67,67,67,67,0
271,67,67,67,67,67,67,67,0
272,67,67,67,67,67,67,67,0
273,67,67,67,67,67,67,67,0
274,67,67,67,67,67,67,67,0
275,67,67,67,67,67,67,67,0
276,67,67,67,67,67,67,67,0
277,67,67,67,67,67,67,67,0
278,67,67,67,67,67,67,67,0
279,67,67,67,67,67,67,67,0
280,67,67,67,67,67,67,67,0
281,67,67,67,67,67,67,67,0
282,67,67,67,67,67,67,67,0
283,67,67,67,67,67,67,67,0
284,67,67,67,67,67,67,67,0
285,67,67,67,67,67,67,67,0
286,67,67,67,67,67,67,67,0
287,67,67,67,67,67,67,67,0
288,2,2,2,2,2,22,22,0
289,2,2,2,2,22,22,109,0
290,2,2,2,22,22,109,67,0
291,2,2,22,22,109,67,67,0
292,2,22,22,109,67,67,67,0
293,22,22,109,67,67,67,67,0
294,22,109,67,67,67,67,67,0
295,109,67,67,67,67,67,67,0
296,67,67,67,67,67,67,67,0
297,67,67,67,67,67,67,67,0
298,67,67,67,67,67,67,67,0
299,67,67,67,67,67,67,67,0
300,67,67,67,67,67,67,67,0
301,67,67,67,67,67,67,67,0
302,67,67,67,67,67,67,67,0
303,67,67,67,67,67,67,67,0
304,67,67,67,67,67,67,67,0
305,67,67,67,67,67,67,67,0
306,67,67,67,67,67,67,67,0
307,67,67,67,67,67,67,67,0
308,67,67,67,67,67,67,67,0
309,67,67,67,67,67,67,67,0
310,67,67,67,67,67,67,67,0
311,67,67,67,67,67,67,67,0
312,67,67,67,67,67,67,67,0
313,67,67,67,67,67,67,67,0
314,67,67,67,67,67,67,67,0
315,67,67,67,67,67,67,67,0
316,67,67,67,67,67,67,67,0
317,67,67,67,67,67,67,67,0
318,67,67,67,67,67,67,67,0
319,67,67,67,67,67,67,67,0
320,67,67,67,67,67,67,67,0
321,67,67,67,67,67,67,67,0
322,67,67,67,67,67,67,67,0
323,67,67,67,67,67,67,67,0
324,58,103,5,50,58,103,5,0
325,103,5,50,58,103,5,50,0
326,5,50,58,103,5,50,67,0
327,50,58,103,5,50,67,67,0
328,58,103,5,50,67,67,67,0
329,103,5,50,67,67,67,67,0
330,5,50,67,67,67,67,67,0
331,50,67,67,67,67,67,67,0
332,67,67,67,67,67,67,67,0
333,67,67,67,67,67,67,67,0
334,67,67,67,67,67,67,67,0
335,67,67,67,67,67,67,67,0
336,67,67,67,67,67,67,67,0
337,67,67,67,67,67,67,67,0
338,67,67,67,67,67,67,67,0
339,67,67,67,67,67,67,67,0
