,0,1,2,3,4,5,6,output
0,38,39,114,70,70,15,15,1
1,39,114,70,70,15,15,100,1
2,70,70,15,15,100,115,115,1
3,85,85,109,62,8,85,85,1
4,8,85,85,109,115,109,62,1
5,62,8,115,85,100,100,85,1
6,109,62,55,62,109,62,109,1
7,55,62,109,62,109,109,115,1
8,109,62,109,109,115,109,115,1
9,115,12,115,85,100,100,85,1
10,62,62,62,62,55,62,109,1
11,62,62,62,55,62,109,109,1
12,8,8,8,8,55,109,55,1
13,55,62,115,109,62,55,62,1
14,62,8,115,85,100,100,85,1
15,8,8,55,62,109,62,109,1
16,55,62,109,62,109,109,115,1
17,109,115,12,85,100,100,85,1
18,47,8,55,109,62,55,62,1
19,62,62,55,8,85,100,85,1
20,62,55,8,85,100,85,85,1
21,8,55,55,54,54,55,109,1
22,55,54,54,55,109,109,115,1
23,54,55,109,109,115,109,115,1
24,115,12,115,85,100,100,85,1
25,109,109,55,62,85,100,85,1
26,109,55,62,85,100,85,85,1
27,62,62,2,8,55,55,62,1
28,109,62,55,62,8,55,109,1
29,55,62,8,55,109,109,115,1
30,115,109,115,12,85,100,85,1
31,109,115,12,85,100,85,85,1
32,55,62,55,62,109,109,109,1
33,62,2,8,55,62,62,109,1
34,109,62,109,15,100,15,100,1
37,68,54,72,37,104,104,81,0
38,104,104,81,3,31,34,3,0
39,31,34,3,3,31,34,3,0
40,3,31,34,3,3,31,3,0
41,31,3,3,31,3,68,68,0
42,57,102,57,57,57,57,102,0
43,57,57,102,3,31,34,3,0
44,31,34,3,3,31,34,3,0
45,3,31,34,3,3,31,3,0
46,31,3,3,31,3,68,68,0
47,68,54,104,104,81,81,81,0
48,81,81,81,3,31,34,3,0
49,31,34,3,3,31,34,3,0
50,3,31,34,3,3,31,3,0
51,49,10,15,28,87,28,15,0
52,31,81,15,68,70,68,15,0
53,49,10,15,28,87,28,15,0
54,31,81,15,68,70,68,15,0
55,22,22,22,22,12,35,29,1
56,22,12,35,29,9,115,29,1
57,22,22,22,22,12,35,29,1
58,22,12,35,29,9,115,29,1
59,22,22,22,22,12,35,29,1
60,22,12,35,29,9,115,29,1
61,22,22,22,22,12,35,29,1
62,22,12,35,29,9,115,29,1
63,22,22,22,22,12,35,29,1
64,22,12,35,29,9,115,29,1
65,22,22,22,22,12,35,29,1
66,22,12,35,29,9,115,29,1
67,58,58,103,5,50,8,106,1
68,115,37,54,106,72,37,85,1
69,98,17,35,29,62,93,93,1
70,22,22,22,22,12,35,29,1
71,22,12,35,29,9,115,29,1
72,22,22,22,22,12,35,29,1
73,22,12,35,29,9,115,29,1
74,22,22,22,22,12,35,29,1
75,22,12,35,29,9,115,29,1
76,22,22,22,22,12,35,29,1
77,22,12,35,29,9,115,29,1
78,22,22,22,22,12,35,29,1
79,22,12,35,29,9,115,29,1
80,22,22,22,22,12,35,29,1
81,22,12,35,29,9,115,29,1
82,22,22,22,22,12,35,29,1
83,22,12,35,29,9,115,29,1
84,22,22,22,22,12,35,29,1
85,22,12,35,29,9,115,29,1
86,22,22,22,22,12,35,29,1
87,22,12,35,29,9,115,29,1
88,22,22,22,22,12,35,29,1
89,22,12,35,29,9,115,29,1
90,58,58,103,5,50,8,106,1
91,115,37,54,106,72,37,85,1
92,106,62,35,29,62,93,93,1
93,35,35,29,62,106,62,29,1
94,22,22,22,22,12,35,29,1
95,22,12,35,29,9,115,29,1
96,22,22,22,22,12,35,29,1
