,0,1,2,3,4,5,6,output
0,2,58,58,103,5,50,110,0
1,58,58,103,5,50,110,110,0
2,103,5,50,110,110,119,119,0
3,50,110,110,119,119,54,119,0
4,110,119,119,54,119,55,119,0
5,50,2,0,2,50,2,0,0
6,2,0,2,50,2,0,22,0
7,2,50,2,0,22,119,119,0
8,2,0,22,119,119,54,119,0
9,22,119,119,54,119,55,119,0
10,50,2,0,2,50,2,0,0
11,2,0,2,50,2,0,22,0
12,2,50,2,0,22,119,119,0
13,2,0,22,119,119,54,119,0
14,22,119,119,54,119,55,119,0
15,50,2,0,2,50,2,0,0
16,2,0,2,50,2,0,22,0
17,2,50,2,0,22,119,119,0
18,2,0,22,119,119,54,119,0
19,44,44,44,73,0,22,43,0
20,44,44,73,0,22,43,22,0
21,22,115,100,100,100,100,22,0
22,22,119,22,97,97,54,50,0
23,5,50,5,50,5,50,44,0
24,44,0,119,0,0,22,22,0
25,0,119,0,0,22,22,50,0
26,0,22,22,50,119,119,0,0
27,22,22,50,119,119,0,0,0
28,0,0,119,119,0,22,50,0
29,119,0,22,50,50,119,22,0
30,44,44,44,73,0,22,43,0
31,44,44,73,0,22,43,22,0
32,22,115,100,100,100,100,22,0
33,22,119,22,97,97,54,50,0
34,63,46,65,16,1,116,60,0
35,60,0,119,0,0,22,22,0
36,0,119,0,0,22,22,50,0
37,0,22,22,50,119,119,0,0
38,22,22,50,119,119,0,0,0
39,0,0,119,119,0,22,50,0
40,22,22,22,44,0,22,22,0
41,22,22,44,0,22,22,22,0
42,44,0,22,22,22,119,119,0
43,22,22,22,119,119,54,119,0
44,22,119,119,54,119,55,119,0
45,50,2,0,2,50,2,0,0
46,2,0,2,50,2,0,22,0
47,2,50,2,0,22,119,119,0
48,2,0,22,119,119,54,119,0
49,22,119,119,54,119,55,119,0
50,50,2,0,2,50,2,0,0
51,2,0,2,50,2,0,22,0
52,2,50,2,0,22,119,119,0
53,2,0,22,119,119,54,119,0
54,22,119,119,54,119,55,119,0
55,50,2,0,2,50,2,0,0
56,2,0,2,50,2,0,22,0
57,2,50,2,0,22,119,119,0
58,2,0,22,119,119,54,119,0
59,44,44,44,73,0,22,43,0
60,44,44,73,0,22,43,22,0
61,22,22,72,40,15,110,22,0
62,22,119,22,97,97,54,50,0
63,95,69,21,116,71,21,7,0
64,7,0,119,0,0,22,22,0
65,0,119,0,0,22,22,50,0
66,0,22,22,50,119,119,0,0
67,22,22,50,119,119,0,0,0
68,0,0,119,119,0,22,50,0
69,0,22,50,50,119,22,48,0
70,22,50,50,119,22,48,14,0
71,22,22,0,22,22,22,22,0
72,85,85,50,50,50,50,50,0
73,85,50,50,50,50,50,50,0
74,50,50,50,50,50,50,119,0
75,50,50,50,50,50,119,119,0
76,50,50,50,50,119,119,119,0
77,50,50,50,119,119,119,119,0
