,0,1,2,3,4,5,6,output
0,109,115,85,100,85,100,15,0
1,85,100,85,100,15,28,110,1
2,100,85,100,15,28,110,80,1
3,85,100,15,28,110,80,70,1
4,15,28,110,80,70,70,70,1
5,70,28,70,80,39,39,39,1
6,70,80,39,39,39,80,70,1
7,39,39,80,70,28,70,80,1
8,114,60,11,39,11,39,39,1
9,60,11,39,11,39,39,38,1
10,39,11,39,39,38,70,70,1
11,38,70,70,114,70,38,39,1
12,70,70,114,70,38,39,114,1
13,100,12,100,66,66,100,66,1
14,12,100,66,66,100,66,66,1
15,66,66,100,66,66,70,70,0
16,66,100,66,66,70,70,28,0
17,66,70,70,28,110,110,28,0
18,110,110,28,15,110,86,80,0
19,65,65,33,65,60,95,95,1
20,95,95,16,70,38,39,20,2
21,60,65,60,95,17,1,92,2
22,1,92,13,122,42,114,25,2
23,44,44,44,44,44,66,66,1
24,66,114,66,66,66,66,66,1
25,66,66,66,66,114,70,39,1
26,38,70,114,38,38,39,38,1
27,38,38,70,38,38,11,39,1
28,38,70,38,38,11,39,38,1
29,70,38,38,11,39,38,70,1
30,39,38,70,70,70,38,39,1
31,38,70,70,70,38,39,38,1
32,70,70,70,38,39,38,70,1
33,70,114,66,36,114,114,114,1
34,114,66,36,114,114,114,114,1
35,66,36,114,114,114,114,70,1
36,114,114,114,114,70,70,70,1
37,114,70,38,38,11,11,38,1
38,38,11,11,38,38,70,114,1
39,114,66,38,39,11,66,66,1
40,114,66,66,66,66,66,66,1
41,66,66,66,66,114,70,39,1
42,70,114,38,38,38,56,38,1
43,38,38,70,38,38,11,39,1
44,38,70,38,38,11,39,38,1
45,70,38,38,11,39,38,70,1
46,38,70,70,70,38,38,39,1
47,70,70,70,38,38,39,38,1
48,70,70,38,38,39,38,70,1
49,70,114,66,36,114,114,114,1
50,114,66,36,114,114,114,114,1
51,66,36,114,114,114,114,70,1
52,114,114,114,114,70,70,70,1
53,114,70,38,38,11,11,38,1
54,38,38,70,114,38,66,66,1
55,66,114,66,66,66,66,66,1
56,66,66,66,66,114,70,39,1
57,70,114,38,38,38,56,38,1
58,38,38,70,38,38,11,39,1
59,38,70,38,38,11,39,38,1
60,70,38,38,11,39,38,70,1
61,39,38,70,70,70,38,39,1
62,38,70,70,70,38,39,38,1
