,0,1,2,3,4,5,6,output
0,39,89,103,39,89,83,140,0
1,103,103,103,103,103,103,119,0
2,77,82,82,115,115,146,82,0
3,82,115,115,146,82,82,77,0
4,82,82,77,82,77,82,82,0
5,77,82,82,82,77,82,82,0
6,82,82,77,82,82,82,77,0
7,82,82,82,77,82,77,82,0
8,82,77,82,82,77,82,82,0
9,82,82,77,82,82,82,77,0
10,77,82,82,82,77,82,77,0
11,82,82,82,77,82,77,82,0
12,82,77,82,77,77,119,2,1
13,77,82,77,77,119,2,119,1
14,2,119,134,134,2,119,119,0
15,134,134,2,119,119,119,77,0
16,119,77,82,77,119,2,119,0
17,2,119,82,77,119,2,119,0
18,44,82,44,44,44,44,44,0
19,82,44,44,115,146,44,82,0
20,44,115,146,44,82,82,77,0
21,44,82,82,77,82,77,82,0
22,82,77,82,77,82,82,77,0
23,115,115,146,146,82,44,82,0
24,82,44,82,82,77,82,44,0
25,82,82,77,82,44,82,77,0
26,82,77,119,2,119,119,119,0
27,22,77,22,119,2,119,119,0
28,119,77,119,82,119,82,44,1
29,82,119,82,44,82,134,119,0
30,119,82,44,82,134,119,119,0
31,82,44,82,134,119,119,77,1
32,44,82,134,119,119,77,77,1
33,82,134,119,119,77,77,134,1
34,119,77,77,134,134,134,119,1
35,119,2,29,82,82,82,82,0
36,82,82,82,82,82,77,119,0
37,82,82,82,77,119,82,77,0
38,119,77,82,44,44,44,44,0
39,77,82,44,44,44,44,82,0
40,82,44,44,44,44,82,77,0
41,44,44,82,77,77,77,82,0
42,77,77,77,82,82,77,82,0
43,77,82,82,77,82,82,77,0
44,115,115,146,115,82,146,82,0
45,146,115,82,146,82,82,77,0
46,115,146,32,44,44,44,44,0
47,44,44,44,82,77,82,82,0
48,82,77,82,82,82,77,82,0
49,77,82,82,77,82,82,44,0
50,52,27,147,148,19,116,2,0
51,116,2,119,77,82,82,142,0
52,119,77,82,82,142,82,77,0
53,6,36,136,85,103,72,6,0
54,107,110,55,48,72,72,80,0
55,80,72,107,72,72,80,137,0
56,23,59,59,23,23,119,119,0
57,59,59,23,23,119,119,143,0
58,79,40,98,96,116,119,119,0
59,96,147,98,96,116,44,44,0
60,116,44,44,44,77,119,119,1
61,44,44,44,77,119,119,116,1
62,44,44,77,119,119,116,134,0
63,77,119,119,116,134,134,77,0
64,119,116,134,134,77,44,77,0
65,109,89,80,52,110,22,72,0
66,107,137,80,59,82,22,2,0
67,23,137,124,23,67,67,119,1
68,22,82,22,82,22,82,22,0
69,22,82,22,82,22,142,77,0
70,44,137,44,137,44,137,44,0
71,51,89,51,59,2,119,22,0
72,51,59,2,119,22,119,77,0
73,119,2,119,2,59,22,82,0
74,119,2,59,22,82,44,77,0
75,22,82,44,77,22,77,22,0
76,119,2,2,59,22,82,44,0
77,59,22,82,44,82,77,82,0
78,77,82,82,77,22,82,44,0
79,39,99,83,39,99,89,52,0
80,82,16,59,148,34,56,82,0
81,148,34,56,82,22,77,82,0
82,77,82,148,116,59,2,119,0
83,59,2,148,116,59,2,119,0
84,2,2,2,2,59,2,119,0
85,2,2,59,2,119,22,77,0
86,59,2,2,59,22,82,44,0
87,44,82,77,44,82,54,54,0
88,82,54,54,44,77,2,116,0
89,54,44,77,2,116,2,77,0
90,77,2,116,2,77,44,77,0
91,77,44,77,44,77,2,116,0
92,77,44,77,2,116,2,77,0
93,82,22,2,148,2,22,82,0
94,2,22,82,44,77,2,116,0
95,82,44,77,2,116,2,77,0
96,77,2,116,2,77,44,77,0
