,0,1,2,3,4,5,6,output
0,79,135,141,108,126,108,126,1
1,126,21,39,136,103,89,89,1
2,39,89,103,52,52,52,103,1
3,52,52,52,103,89,39,89,1
4,103,89,39,89,103,39,89,2
5,89,39,89,103,39,89,83,2
6,16,52,16,52,52,51,89,2
7,52,51,89,89,140,89,51,2
8,126,83,83,126,83,83,89,1
9,126,83,83,89,89,39,136,1
10,39,136,136,39,21,136,109,1
11,77,119,23,2,116,19,148,2
12,23,2,116,19,148,55,140,2
13,116,19,148,55,140,34,140,2
14,148,55,140,34,140,148,140,2
15,18,57,57,57,57,57,83,2
16,57,57,57,57,83,83,140,2
17,89,140,51,51,83,83,83,2
18,83,83,140,83,83,83,83,2
19,83,83,83,140,89,52,51,2
20,89,89,51,52,51,89,89,2
21,52,51,89,89,89,140,83,2
22,51,89,89,89,140,83,48,2
23,89,89,89,140,83,48,140,2
24,89,89,140,83,48,140,140,2
25,48,140,140,140,140,89,89,2
26,89,51,51,16,16,51,51,2
27,16,16,51,51,89,140,51,2
28,89,140,83,51,52,16,83,2
29,83,51,52,16,83,83,140,2
30,89,140,51,51,83,83,83,2
31,83,140,83,83,83,83,83,2
32,83,83,83,140,89,52,51,2
33,89,51,51,52,51,89,89,2
34,52,51,89,89,89,140,83,2
35,51,89,89,89,140,83,48,2
36,89,89,89,140,83,48,140,2
37,89,89,140,83,48,140,140,2
38,48,140,140,140,140,89,89,2
39,89,51,51,16,16,51,51,2
40,16,51,51,89,140,51,83,2
41,51,89,140,51,83,83,140,2
42,89,140,51,51,83,83,83,2
43,83,83,140,83,83,83,83,2
44,83,83,83,140,89,52,51,2
45,89,89,51,52,51,89,89,2
46,51,52,51,89,89,89,140,2
47,51,89,89,89,140,83,140,2
48,89,89,89,140,83,140,48,2
49,89,89,140,83,140,48,140,2
50,89,140,83,140,48,140,140,2
51,48,140,140,140,140,89,89,2
52,89,51,51,16,16,51,51,2
53,16,16,51,51,89,140,51,2
54,51,89,140,51,89,140,83,2
55,51,89,140,83,89,140,51,2
56,83,89,140,51,89,140,83,2
57,51,89,140,83,89,140,51,2
58,83,89,140,51,89,140,83,2
59,51,89,140,83,89,140,51,2
60,83,89,140,51,89,140,83,2
61,51,89,140,83,89,140,51,2
62,83,89,140,51,89,140,83,2
63,51,89,140,83,89,140,51,2
64,41,128,118,70,85,70,93,0
65,128,118,70,85,70,93,49,0
66,41,128,118,70,85,70,93,0
67,128,118,70,85,70,93,49,0
68,41,128,118,70,85,70,93,0
69,128,118,70,85,70,93,49,0
70,41,128,118,70,85,70,93,0
71,128,118,70,85,70,93,49,0
72,41,128,118,70,85,70,93,0
73,128,118,70,85,70,93,49,0
74,70,70,41,128,118,70,85,0
75,70,41,128,118,70,85,70,0
76,5,42,5,5,42,5,136,0
77,42,5,5,42,5,136,45,0
78,42,5,136,45,130,130,133,0
79,136,104,66,133,136,45,136,0
80,45,136,136,130,66,21,133,0
81,130,66,21,133,73,130,133,0
82,133,41,130,128,36,128,41,0
83,130,128,36,128,41,41,130,0
84,45,128,21,85,41,103,41,0
85,72,45,143,6,103,45,6,0
86,45,143,6,103,45,6,41,0
87,45,128,21,85,41,103,41,0
88,72,45,143,6,103,45,6,0
89,45,143,6,103,45,6,41,0
90,45,128,21,85,41,103,41,0
91,72,45,143,6,103,45,6,0
92,45,143,6,103,45,6,41,0
93,128,6,72,72,72,41,136,0
94,41,136,133,130,136,136,133,0
95,130,136,136,133,73,130,136,0
96,130,136,133,130,136,136,133,0
97,130,136,136,133,73,130,136,0
98,130,136,133,130,136,136,133,0
99,130,136,136,133,73,130,136,0
100,130,136,133,130,136,136,133,0
101,136,136,133,73,130,136,104,1
102,130,136,104,21,39,51,107,1
103,39,51,107,51,39,21,104,1
104,39,21,104,21,39,51,107,1
105,51,107,51,39,21,5,66,1
106,51,39,21,5,66,85,39,1
107,39,51,39,85,66,5,66,1
108,39,85,66,5,66,85,39,1
109,39,51,39,85,66,63,14,1
110,39,85,66,63,14,21,39,1
111,39,110,39,21,14,63,14,1
112,39,21,14,63,14,21,39,1
113,85,89,85,21,104,63,14,1
114,85,21,104,63,14,21,39,1
115,143,21,128,101,21,128,5,1
116,21,128,5,35,39,21,128,1
117,5,5,101,101,101,101,104,1
118,101,101,104,21,39,51,107,1
119,39,51,107,51,39,21,104,1
120,39,21,104,21,39,51,107,1
121,51,107,51,39,21,5,66,1
122,51,39,21,5,66,85,39,1
123,39,51,39,85,66,5,66,1
124,39,85,66,5,66,85,39,1
125,39,51,39,85,66,63,14,1
126,39,85,66,63,14,21,39,1
127,39,110,39,21,14,63,14,1
128,39,21,14,63,14,21,39,1
129,85,89,85,21,104,63,14,1
130,85,21,104,63,14,21,39,1
131,143,21,128,101,21,128,5,1
132,21,128,5,35,39,21,128,1
133,1,1,1,1,5,14,5,1
134,23,47,40,79,117,117,18,2
135,141,140,47,48,83,81,83,2
136,12,111,12,111,131,79,40,3
137,119,119,77,44,44,116,58,3
138,44,116,58,98,96,116,119,3
139,116,58,98,96,116,119,116,3
140,98,96,116,119,116,96,96,3
141,116,119,116,96,96,147,96,3
142,96,96,147,96,102,96,147,3
143,145,136,99,109,136,99,52,1
144,148,48,148,48,148,48,148,2
145,148,48,148,48,148,48,140,2
146,48,148,48,148,48,140,48,2
147,84,7,7,7,7,7,94,0
148,21,126,21,21,21,21,21,0
149,21,21,21,21,66,130,136,1
150,21,66,130,136,136,39,136,0
151,136,45,130,53,126,21,136,0
152,73,133,66,73,66,104,5,0
153,5,104,66,73,133,66,73,0
154,133,66,73,133,130,66,73,0
155,73,36,130,136,103,45,103,0
156,36,130,136,103,45,103,136,0
157,104,66,73,104,136,136,136,0
158,136,136,136,130,133,73,66,0
159,73,133,66,73,66,104,5,0
160,5,104,66,73,133,66,73,0
161,133,66,73,133,130,66,73,0
162,73,36,130,136,103,45,103,0
163,36,130,136,103,45,103,136,0
164,104,66,73,104,136,136,136,0
165,136,136,136,130,133,73,66,0
166,73,133,66,73,66,104,5,0
167,5,104,66,73,133,66,73,0
168,133,66,73,133,130,66,73,0
169,73,36,130,136,103,45,103,0
170,36,130,136,103,45,103,136,0
171,104,66,73,104,136,136,136,0
172,22,119,2,119,2,148,116,2
173,59,2,59,2,59,2,71,1
174,145,31,145,94,94,94,71,1
175,4,4,118,126,83,126,71,1
176,145,31,145,94,94,94,71,1
